Year,Month,Seaborne ( '000 TEUs),River ( '000 TEUs),Total ( '000 TEUs),Seaborne (Year-on-year change %),River (Year-on-year change %),Total (Year-on-year change %)
2011,All,17419,6965,24384,7.2,-6.5,2.9
2012,All,16689,6428,23117,-4.2,-7.7,-5.2
2013,All,16009,6344,22352,-4.1,-1.3,-3.3
2014,All,15591,6635,22226,-2.6,4.6,-0.6
2015,All,13867,6205,20073,-11.1,-6.5,-9.7
2016,All,13565,6248,19813,-2.2,0.7,-1.3
2017,All,14622,6149,20770,7.8,-1.6,4.8
2018,All,13764,5833,19596,-5.9,-5.1,-5.7
2019,All,12751,5552,18303,-7.4,-4.8,-6.6
2020,All,12458,5511,17969,-2.3,-0.7,-1.8
2021,All,13316,4482,17798,6.9,-18.7,-1
2022,All,11588,5097,16685,-13,13.7,-6.3
2023,All,10137,4264,14401,-12.5,-16.3,-13.7
2024,All,9492,4196,13688,-6.4,-1.6,-5
2021,Jan,1178,360,1538,16.5,-13.2,7.9
2021,Feb,869,150,1019,7.1,-56.9,-12.1
2021,Mar,1143,414,1557,9.1,-11.3,2.8
2021,Apr,1113,404,1517,8,-6.4,3.8
2021,May,1217,375,1592,17.4,-21.7,5.1
2021,Jun,1105,379,1485,3.9,-19.1,-3.2
2021,Jul,1172,409,1581,8.4,-19.3,-0.4
2021,Aug,1110,416,1526,0.4,-10.9,-3
2021,Sep,1129,405,1534,9.3,-19.8,-0.3
2021,Oct,1058,361,1420,0.1,-18.1,-5.3
2021,Nov,1141,406,1546,10.3,-18,1.1
2021,Dec,1082,403,1485,-5.6,-17.3,-9.1
2022,Jan,994,227,1221,-15.6,-36.9,-20.6
2022,Feb,850,200,1051,-2.2,33.4,3.1
2022,Mar,1002,432,1434,-12.3,4.3,-7.9
2022,Apr,1050,566,1616,-5.6,40.1,6.5
2022,May,1079,440,1519,-11.3,17.4,-4.6
2022,Jun,1040,548,1588,-5.9,44.5,7
2022,Jul,1032,426,1458,-11.9,4.1,-7.8
2022,Aug,929,430,1359,-16.3,3.4,-11
2022,Sep,917,474,1392,-18.8,17.2,-9.3
2022,Oct,867,413,1280,-18,14.3,-9.8
2022,Nov,906,452,1359,-20.5,11.5,-12.1
2022,Dec,921,489,1410,-14.8,21.2,-5.1
2023,Jan,776,291,1067,-22,28.4,-12.6
2023,Feb,729,329,1058,-14.3,64.4,0.7
2023,Mar,921,386,1307,-8,-10.6,-8.8
2023,Apr,896,350,1246,-14.7,-38.2,-22.9
2023,May,889,347,1236,-17.6,-21.2,-18.6
2023,Jun,874,333,1207,-16,-39.2,-24
2023,Jul,864,353,1217,-16.3,-17.1,-16.6
2023,Aug,880,363,1242,-5.3,-15.7,-8.5
2023,Sep,853,356,1209,-7,-24.9,-13.1
2023,Oct,821,321,1143,-5.3,-22.3,-10.8
2023,Nov,835,391,1226,-7.9,-13.5,-9.8
2023,Dec,800,443,1243,-13.1,-9.2,-11.8
2024,Jan,859,408,1267,10.7,39.9,18.7
2024,Feb,665,237,903,-8.7,-27.9,-14.7
2024,Mar,792,362,1153,-14.1,-6.3,-11.8
2024,Apr,763,349,1112,-14.9,-0.1,-10.7
2024,May,864,344,1207,-2.9,-0.8,-2.3
2024,Jun,776,348,1124,-11.2,4.4,-6.8
2024,Jul,777,377,1154,-10,6.9,-5.1
2024,Aug,798,346,1145,-9.2,-4.6,-7.9
2024,Sep,770,341,1112,-9.7,-4.2,-8.1
2024,Oct,812,335,1147,-1.2,4.3,0.4
2024,Nov,802,374,1176,-3.9,-4.3,-4.1
2024,Dec,814,374,1188,1.7,-15.6,-4.4
2025,Jan,815,354,1169,-5.1,-13.2,-7.7
2025,Feb,717,285,1002,7.8,20.2,11.1
2025,Mar,865,338,1203,9.3,-6.5,4.3
2025,Apr,,,1179,,,6
2025,May,,,1054,,,-12.7
